pde,depth,width,activation,learning_rate,adam_beta2,adam_epochs,lbfgs_iters,grid_size,la_bc,adam_final_rrmse,final_rrmse,adam_time,lbfgs_time,training_time,seed
pde1,2,10,sin,0.05,0.999,80000,200,100,1.0,0.01090268325060606,0.0005178721039555967,20911.613370656967,22.808023691177368,20934.421394348145,42
pde1,2,10,sin,0.005,0.999,80000,200,100,1.0,1.0503031015396118,0.0004266843607183546,19304.47202348709,321.72299242019653,19626.195015907288,42
pde1,2,10,sin,0.0005,0.999,80000,200,100,1.0,1.0739432573318481,1.0740693807601929,20135.133299589157,62.63341498374939,20197.766714572906,42
pde1,2,10,sin,5e-05,0.999,80000,200,100,1.0,1.1148945093154907,1.1148943901062012,20545.978182792664,50.921568870544434,20596.899751663208,42
pde1,2,10,swish,0.05,0.999,80000,200,100,1.0,0.9323781132698059,0.9323654770851135,19339.877960681915,85.2698962688446,19425.14785695076,42
pde1,2,10,swish,0.005,0.999,80000,200,100,1.0,0.9557322859764099,0.9558810591697693,15362.745248317719,85.62849855422974,15448.373746871948,42
pde1,2,10,swish,0.0005,0.999,80000,200,100,1.0,1.0535672903060913,1.0535659790039062,14520.991097211838,10.088388442993164,14531.079485654831,42
pde1,2,10,swish,5e-05,0.999,80000,200,100,1.0,1.0936321020126343,1.0936287641525269,12869.480548381805,71.33367872238159,12940.814227104187,42
pde1,2,10,tanh,0.05,0.999,80000,200,100,1.0,0.8325397968292236,0.8102198839187622,17415.70156478882,233.7410204410553,17649.442585229874,42
pde1,2,10,tanh,0.005,0.999,80000,200,100,1.0,0.7557615041732788,0.7557576894760132,19662.95192193985,7.30668306350708,19670.258605003357,42
pde1,2,10,tanh,0.0005,0.999,80000,200,100,1.0,0.8061345219612122,0.8061376214027405,18725.554114818573,56.88238501548767,18782.43649983406,42
pde1,2,10,tanh,5e-05,0.999,80000,200,100,1.0,1.0754528045654297,1.0754423141479492,21093.900938987732,25.40866446495056,21119.309603452682,42
pde1,2,50,sin,0.05,0.999,80000,200,100,1.0,0.009750929661095142,0.002112596295773983,3934.433655500412,271.0969207286835,4205.5305762290955,42
pde1,2,50,sin,0.005,0.999,80000,200,100,1.0,0.9975956082344055,0.9974043965339661,21738.957522153854,47.83066749572754,21786.788189649582,42
pde1,2,50,sin,0.0005,0.999,80000,200,100,1.0,1.0803111791610718,1.0795947313308716,6863.628791332245,170.01989555358887,7033.648686885834,42
pde1,2,50,sin,5e-05,0.999,80000,200,100,1.0,1.1106756925582886,1.1106454133987427,4867.296916246414,111.49750876426697,4978.794425010681,42
pde1,2,50,swish,0.05,0.999,80000,200,100,1.0,0.928995668888092,0.9258967638015747,4522.559561014175,172.20880889892578,4694.768369913101,42
