test_name,rRMSE,pde_loss,bc_loss,ic_loss,total_loss,runtime,num_layers,num_nodes,activation_func,epochs,grid_size,learning_rate
burgers_2d_0,0.4238458275794983,0.03272463008761406,2.4632223357912153e-05,0.04816609248518944,0.08091535419225693,217.94989490509033,3,40,sin,41752,43,0.0003442953106491
burgers_2d_1,0.06339812278747559,0.0011182543821632862,3.1220695291267475e-06,0.0030802180990576744,0.004201594740152359,450.96839594841003,3,95,tanh,90563,69,0.000230567007494
burgers_2d_2,0.09692559391260147,0.0005647584912367165,5.346806574380025e-06,0.0004356764839030802,0.001005781814455986,920.3804187774658,6,19,swish,85216,187,0.0001842411804467
burgers_2d_3,1.0,6.201848009627627e-31,2.6141629228534117e-39,0.4965517222881317,0.4965517222881317,1668.6268014907837,7,76,swish,59743,145,0.0111303463730186
burgers_2d_4,0.06692230701446533,0.0011626421473920345,2.7373243938200176e-06,0.0009023041930049658,0.002067683730274439,2406.7160437107086,10,46,swish,56462,181,1.980500896568931e-05
burgers_2d_5,0.2886299788951874,2.0308111743361223e-06,7.582918442494702e-06,1.3097686633045669e-06,1.092349884856958e-05,1721.7195580005646,9,91,swish,93620,56,0.0003465430528732
burgers_2d_6,0.36497411131858826,3.8716563722118735e-05,2.7061349101131782e-05,1.378955494146794e-05,7.956747140269727e-05,126.05243253707886,3,19,sigmoid,27173,12,0.0974139822155868
burgers_2d_7,0.6520306468009949,0.055021438747644424,0.004112771712243557,0.13323907554149628,0.19237329065799713,311.94286727905273,2,84,relu,78355,162,5.247955131525455e-05
burgers_2d_8,0.03595482185482979,0.0011980746639892459,1.9972161680925637e-05,0.0007538762874901295,0.001971923280507326,547.40181183815,6,15,swish,45859,125,0.0001253250175418
burgers_2d_9,0.17594105005264282,0.007429611869156361,0.0010677234968170524,0.0002809085708577186,0.008778243325650692,654.0424718856812,8,31,sigmoid,33646,199,0.0108693872330151
burgers_2d_10,0.6525185704231262,0.049341168254613876,0.003457440063357353,0.13155288994312286,0.18435150384902954,853.2267980575562,10,9,relu,82065,26,0.0509460368461985
burgers_2d_11,0.14566199481487274,0.0055189128033816814,2.623470572871156e-05,0.005310234613716602,0.010855382308363914,127.58348488807678,5,84,swish,8155,130,0.0002315887259497
burgers_2d_12,0.007959965616464615,7.743005699012429e-05,1.4845768419036176e-06,1.5214247468975373e-05,9.412888175575063e-05,539.7999954223633,8,20,tanh,42356,192,0.0004457643374031
burgers_2d_13,0.20260949432849884,0.00016556793707422912,1.0261010174872354e-06,0.0002992665977217257,0.0004658606485463679,835.5025312900543,9,25,sin,65809,68,0.0015399967234343
burgers_2d_14,191.70681762695312,3.010404837612323e+18,27725.224609375,13863.4951171875,3.010404837612323e+18,174.9860007762909,7,16,sin,19160,48,0.0882841843935834
burgers_2d_15,0.11749977618455887,0.00944107212126255,0.00022208504378795624,0.006256443914026022,0.015919601544737816,722.8271079063416,5,73,sigmoid,87782,113,3.136624269551213e-05
burgers_2d_16,0.11792363971471786,0.008167525753378868,0.0006691585294902325,0.0076576899737119675,0.016494374722242355,204.08868765830994,9,59,sigmoid,16465,59,5.978603708132954e-05
burgers_2d_17,0.6488412618637085,0.05376752093434334,0.002237583976238966,0.12715229392051697,0.18315739929676056,852.910350561142,8,23,relu,95275,92,0.0037080153258158
burgers_2d_18,0.5520474314689636,0.00048417350626550615,0.00023446482373401523,8.608021744294092e-05,0.0008047185256145895,908.4752657413483,6,70,swish,79262,40,0.0016988268340562
burgers_2d_19,0.040652476251125336,0.0007285235333256423,3.819062385446159e-06,0.00033397204242646694,0.0010663146385923028,586.029479265213,4,18,sigmoid,92897,151,0.0016944154715722
burgers_2d_20,0.496229887008667,0.047877002507448196,0.00046270273742266,0.06254462897777557,0.11088433861732483,243.52456140518188,2,89,swish,59855,130,0.0013455180805926
burgers_2d_21,0.14875830709934235,0.0104822413995862,0.00019484339281916618,0.007016776129603386,0.017693860456347466,664.2880809307098,7,7,sigmoid,64680,138,6.496304998863703e-05
burgers_2d_22,0.22770273685455322,0.00021396407100837678,1.001576856651809e-05,1.4151193681755103e-05,0.00023813103325664997,601.5396885871887,9,78,swish,34730,32,0.0001576744387178
