pde,depth,width,activation,learning_rate,adam_beta2,adam_epochs,lbfgs_iters,grid_size,la_bc,adam_final_rrmse,final_rrmse,adam_time,lbfgs_time,training_time,seed
pde1,2,10,sin,0.05,0.9,80000,200,100,1.0,0.022302430123090744,0.000630142109002918,25943.258187055588,41.09817838668823,25984.356365442276,42
pde1,2,10,sin,0.005,0.9,80000,200,100,1.0,1.1125460863113403,1.11262047290802,31055.26816058159,51.35664248466492,31106.624803066254,42
pde1,2,10,sin,0.0005,0.9,80000,200,100,1.0,1.1131584644317627,1.113182544708252,30292.922107458115,77.43042278289795,30370.352530241013,42
pde1,2,10,sin,5e-05,0.9,80000,200,100,1.0,1.1147736310958862,1.1147574186325073,24997.058124542236,98.5560691356659,25095.614193677902,42
pde1,2,10,swish,0.05,0.9,80000,200,100,1.0,0.9368926882743835,0.9287183880805969,31884.06108903885,52.32135057449341,31936.382439613342,42
pde1,2,10,swish,0.005,0.9,80000,200,100,1.0,0.9199812412261963,0.9197562336921692,31614.491184473038,35.53064513206482,31650.021829605103,42
pde1,2,10,swish,0.0005,0.9,80000,200,100,1.0,1.0578516721725464,1.0578304529190063,31161.49956512451,44.26159477233887,31205.76115989685,42
pde1,2,10,swish,5e-05,0.9,80000,200,100,1.0,1.0956259965896606,1.0956522226333618,29839.308846712112,50.05805444717407,29889.366901159286,42
pde1,2,10,tanh,0.05,0.9,80000,200,100,1.0,0.8303037285804749,0.8080847263336182,27104.599940776825,192.9806525707245,27297.58059334755,42
pde1,2,10,tanh,0.005,0.9,80000,200,100,1.0,0.7952289581298828,0.7957321405410767,23451.67026257515,125.98600912094116,23577.65627169609,42
pde1,2,10,tanh,0.0005,0.9,80000,200,100,1.0,0.9491449594497681,0.9491449594497681,30650.847296476364,59.63246750831604,30710.47976398468,42
pde1,2,10,tanh,5e-05,0.9,80000,200,100,1.0,1.0670576095581055,1.067064881324768,26494.283472299576,63.10503101348877,26557.388503313065,42
pde1,2,50,sin,0.05,0.9,80000,200,100,1.0,0.051077958196401596,0.0007189526222646236,12813.79015827179,82.54434156417847,12896.334499835968,42
