pde,trial,d_hidden,d_model,mapping_size,n_params,lbfgs_iters,final_rrmse,final_rmae,train_time,seed
pde1,0,256,16,96,148895,1000,0.003501886247513581,0.003140080206533326,1344.7674345970154,42
pde1,1,768,16,128,683935,1000,0.002943695131140275,0.002620232367616647,2084.6158335208893,42
pde1,2,128,64,16,142799,1000,0.0011933827989671093,0.0010655300826087537,1136.1570608615875,42
pde1,3,768,128,32,896911,1000,0.00471611741440179,0.0042215608143653105,2263.5643248558044,42
pde1,4,256,32,96,167471,1000,0.003963024641856763,0.0035599494873586584,1080.2109479904175,42
pde1,5,512,64,48,418383,1000,0.002767604084484731,0.002482220523027425,1479.2571904659271,42
pde1,6,768,16,32,680863,1000,0.004247427527463643,0.003746326020148268,2039.5257513523102,42
pde1,7,128,32,80,112815,1000,0.002866786418405776,0.002488972203265596,1195.5224032402039,42
pde1,8,512,64,80,422479,1000,0.0023771889911444674,0.0020664109129216453,1466.497606754303,42
pde1,9,512,32,16,367919,1000,0.0037969087822026172,0.003455527342460347,1503.1363170146942,42
pde1,10,768,64,48,763215,1000,0.002994278373405152,0.002536068785624995,2317.784563302994,42
pde1,11,512,128,32,535695,1000,0.0019401947559954781,0.0017921025292148987,1686.2899618148804,42
pde1,12,768,64,96,769359,1000,0.003854699661908767,0.0034575491373604094,2099.3707756996155,42
pde1,13,128,16,32,95263,1000,0.002865397446555509,0.002628797223857258,1184.9245519638062,42
pde1,14,256,128,112,326031,1000,0.0017152764334611278,0.0015372098587130092,1418.74218916893,42
pde1,15,128,16,48,95775,1000,0.0037435013529723577,0.0032655947196180072,1281.262467622757,42
pde1,16,512,32,80,372015,1000,0.0031200702359611755,0.0027465422167113436,1468.0696759223938,42
pde1,17,128,16,96,97311,1000,0.0036193875825396887,0.0029204705551569483,1235.43510556221,42
pde1,18,256,32,112,168495,1000,0.004358550778196454,0.003953133307175736,1381.7922468185425,42
pde1,19,512,32,112,374063,1000,0.0033320461290477347,0.002988331577555429,1593.3574452400208,42
pde1,20,128,128,32,239631,1000,0.0025686207652817834,0.002382220237316715,1171.9931800365448,42
pde1,21,512,64,128,428623,1000,0.0020038168930853607,0.0017912044031623585,1661.9562644958496,42
pde1,22,512,64,96,424527,1000,0.00297036849430738,0.002846283541240109,1628.127158164978,42
pde1,23,128,64,112,155087,1000,0.001755891271074866,0.0015421105028775985,1178.8746070861816,42
pde1,24,256,32,32,163375,1000,0.0026341268617875923,0.0023732881986626405,1222.3847334384918,42
pde1,25,512,128,96,552079,1000,0.0025648140361545745,0.0023372485413643137,1748.1892139911652,42
pde1,26,128,64,80,150991,1000,0.0036233199387948776,0.0030606416633480542,1224.3703157901764,42
pde1,27,768,64,16,759119,1000,0.003807140821432503,0.0034437065992255415,2402.8818261623383,42
pde1,28,768,128,48,901007,1000,0.0017231861083223934,0.00154048491031939,2300.825129032135,42
pde1,29,256,16,64,147871,1000,0.003130389388043084,0.0028669140409052934,1343.0749998092651,42
pde1,30,256,16,48,147359,1000,0.003817371183768128,0.0034299295079275698,1433.6513769626617,42
